year,Base case diesel consumed,Modeled diesel efficiency
2019,536148.76893,487407.971755
2020,529395.050409,481268.227644
2021,522737.81358,475216.194164
2022,516177.058445,469251.871313
2023,510002.230082,463638.390984
2024,503634.438333,457849.489394
2025,497459.60997,452236.009064
2026,491188.299914,446534.818104
2027,484820.508165,440745.916514
2028,478259.75303,434781.593664
2029,472567.333133,429606.666485
2030,466874.913236,424431.739306
2031,460796.566567,418905.969606
2032,453656.921272,412415.382975
2033,446420.794285,405837.085713
2034,439184.667297,399258.788452
2035,432141.503696,392855.912451
2036,425291.303481,386628.45771
2037,418634.066653,380576.42423
2038,411783.866438,374348.969489
