year,Base case cost,Modeled diesel efficiency
2019,1763929.44978,2014218.14794
2020,1842294.77542,2075834.8393
2021,1892310.88516,2111905.09074
2022,1920178.65741,2128060.77756
2023,1932908.45201,2130669.79118
2024,1938992.58758,2127447.37922
2025,1950041.67108,2128943.71516
2026,1964753.19966,2133969.89707
2027,1973219.46823,2133514.2246
2028,1975212.78001,2127365.11498
2029,1989508.47249,2132586.57875
2030,1988887.13039,2124429.31968
2031,1999857.0989,2126987.56259
2032,2009700.16124,2128695.1217
2033,2017821.99017,2129007.62654
2034,2024641.31624,2128301.76393
2035,2018100.82226,2115612.45212
2036,2024386.60457,2114741.4401
2037,2017816.20127,2102337.33101
2038,2021858.78421,2099732.11816
