year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,550042.13,11209.03,243576.07,163471.1
2018,542902.49,11219.83,243576.07,165657.22
2019,536148.77,11230.24,243576.07,167843.34
2020,529395.05,11240.51,243576.07,170029.46
2021,522737.81,11250.79,243576.07,172215.57
2022,516177.06,11260.74,243576.07,174401.69
2023,510002.23,11270.3,243576.07,176587.81
2024,503634.44,11280.03,243576.07,178773.93
2025,497459.61,11289.44,243576.07,180960.05
2026,491188.3,11298.99,243576.07,183146.16
2027,484820.51,11308.86,243576.07,185332.28
2028,478259.75,11318.89,243576.07,187518.4
2029,472567.33,11327.49,243576.07,189704.52
2030,466874.91,11336.3,243576.07,191890.63
2031,460796.57,11345.64,243576.07,194076.75
2032,453656.92,,,196262.87
2033,446420.79,,,198448.99
2034,439184.67,,,201728.16
2035,432141.5,,,203914.28
2036,425291.3,,,206100.4
