year,Base case cost,Modeled transmission and interties
2021,1892310.88516,
2022,1920178.65741,
2023,1932908.45201,
2024,1938992.58758,
2025,1950041.67108,
2026,1964753.19966,
2027,1973219.46823,
2028,1975212.78001,
2029,1989508.47249,
2030,1988887.13039,
2031,1999857.0989,
2032,2009700.16124,
2033,2017821.99017,
2034,2024641.31624,
2035,2018100.82226,
2036,2024386.60457,
2037,2017816.20127,
2038,2021858.78421,
2039,2014647.74246,
2040,2016872.61031,
