year,annotation,Average Load
2003,,651.0
2004,,675.0
2005,,604.0
2006,,644.0
2007,,639.0
2008,,658.0
2009,,642.0
2010,,667.0
2011,,596.0
2012,,597.0
2013,,643.0
2014,,634.0
2015,,610.0
2016,start of forecast,593.0
2017,,586.0
2018,,578.0
2019,,571.0
2020,,564.0
2021,,557.0
2022,,550.0
2023,,543.0
2024,,536.0
2025,,530.0
2026,,523.0
2027,,516.0
2028,,509.0
2029,,503.0
2030,,497.0
2031,,491.0
2032,,483.0
2033,,475.0
2034,,468.0
2035,,460.0
2036,,453.0
2037,,446.0
2038,,439.0
2039,,431.0
2040,,423.0
