year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,53525.84,10156.04,12042.32,9135.85
2018,53525.84,10153.14,12042.32,9135.85
2019,53525.84,10150.39,12042.32,9135.85
2020,53525.84,10147.45,12042.32,9135.85
2021,53525.84,10144.72,12042.32,9135.85
2022,53606.77,10142.22,12042.32,10158.39
2023,53606.77,10139.84,12042.32,10158.39
2024,53606.77,10137.43,12042.32,10158.39
2025,53606.77,10134.84,12042.32,10158.39
2026,53606.77,10131.96,12042.32,10158.39
2027,53687.69,10129.12,12042.32,10158.39
2028,53687.69,10126.1,12042.32,10158.39
2029,53687.69,10122.94,12042.32,11180.94
2030,53687.69,10120.0,12042.32,11180.94
2031,53687.69,10116.73,12042.32,11180.94
2032,53768.62,,,11180.94
2033,53768.62,,,11180.94
2034,53768.62,,,11180.94
2035,53768.62,,,11180.94
2036,53768.62,,,12203.48
