year,Base case cost,Modeled biomass for heat (cordwood)
2017,65638.4396038,77913.724626
2018,69853.1396038,80663.3729164
2019,75272.0396038,84312.011382
2020,77800.8596038,85832.0960657
2021,79607.1596038,86826.1409747
2022,80811.3596038,87382.993472
2023,81774.7196038,87769.5843981
2024,82497.2396038,87985.7305323
2025,83340.1796038,88298.3714041
2026,84423.9596038,88796.3717655
2027,85266.8996038,89123.4030407
2028,85989.4196038,89368.3380763
2029,86952.7796038,89798.1325933
2030,87554.8796038,89967.4302507
2031,88518.2396038,90410.3127631
2032,,
2033,,
2034,,
2035,,
2036,,
