year,Base case cost,Elim (quiktalik creek),Elim (creek at elim) -- unnamed creek,Elim (peterson creek),"Golovin (kwiniuk river, west tributary)"
2021,269190.200057,769467.690698,770151.857015,1682394.24676,1461484.97275
2022,277845.569074,777290.553923,778303.453296,1687940.81057,1467672.70921
2023,284496.428639,783317.034144,784576.483309,1692260.06623,1472472.84436
2024,290263.982391,788564.271776,790029.179101,1696084.61673,1476698.12777
2025,296301.74108,794081.714344,795752.079831,1700179.37216,1481193.61611
2026,304017.266838,801068.797533,803026.804444,1705174.69336,1486749.96338
2027,311088.11886,807515.270211,809719.826914,1709913.94148,1491970.09099
2028,317267.58829,813174.423521,815584.438385,1714150.40765,1496607.29007
2029,324439.767163,819722.22305,822378.787706,1718990.98262,1501928.74453
2030,329758.69261,824624.8956,827445.826784,1722755.50546,1506013.8537
2031,337985.258139,832123.018561,835231.59117,1728261.86643,1512081.24074
2032,346009.169967,839418.48782,842814.701853,1733565.5737,1517945.97409
2033,354084.479472,846765.354757,850449.210214,1738920.67865,1523862.10511
2034,362211.186655,854163.619372,858135.116254,1744327.18127,1529829.63381
2035,368723.27249,860155.389086,864332.344128,1748896.26385,1534799.44929
2036,377927.128159,868526.738963,873032.427061,1754991.31431,1541535.67241
2037,383555.908179,873739.266087,878409.320714,1759065.69173,1545930.63615
2038,392868.433225,882219.285341,887218.073024,1765269.41157,1552775.52864
2039,400263.09062,888989.563391,894234.900867,1770332.46506,1558319.46162
2040,409685.753548,897579.720527,903153.791059,1776646.32278,1565274.492
2041,410898.738755,898792.705733,904366.776266,1777859.30798,1566487.4772
2042,412414.970263,900308.937242,905883.007774,1779375.53949,1568003.70871
2043,413931.201772,901825.16875,907399.239282,1780891.771,1569519.94022
2044,415144.186978,903038.153957,908612.224489,1782104.75621,1570732.92543
2045,416660.418486,904554.385465,910128.455997,1783620.98771,1572249.15694
2046,417873.403693,905767.370672,911341.441204,1784833.97292,1573462.14214
2047,419086.3889,906980.355878,912554.426411,1786046.95813,1574675.12735
2048,420299.374106,908193.341085,913767.411617,1787259.94333,1575888.11256
2049,421512.359313,909406.326291,914980.396824,1788472.92854,1577101.09776
2050,422725.34452,910619.311498,916193.382031,1789685.91375,1578314.08297
