year,Base case diesel consumed,Elim wind feasibility,Modeled wind power
2019,90827.03999,67148.129621,65935.7694101
2020,91194.1662632,67515.2558942,66302.8956833
2021,91561.2925364,67882.3821674,66670.0219565
2022,92001.8440642,68322.9336953,67110.5734844
2023,92368.9703374,68690.0599685,67477.6997576
2024,92736.0966106,69057.1862417,67844.8260308
2025,93176.6481384,69497.7377695,68285.3775586
2026,93543.7744116,69864.8640427,68652.5038318
2027,93984.3259395,70305.4155706,69093.0553597
2028,94424.8774673,70745.9670984,69533.6068875
2029,94865.4289952,71186.5186262,69974.1584154
2030,95305.980523,71627.0701541,70414.7099432
2031,95746.5320508,72067.6216819,70855.261471
2032,96113.6583241,72434.7479551,71222.3877442
2033,96480.7845973,72801.8742283,71589.5140174
2034,96847.9108705,73169.0005015,71956.6402906
2035,97288.4623983,73609.5520294,72397.1918185
2036,97655.5886715,73976.6783026,72764.3180917
2037,98096.1401993,74417.2298304,73204.8696195
2038,98463.2664725,74784.3561036,73571.9958927
