year,Base case cost,Modeled residential energy efficiency
2017,812754.432701,801432.609971
2018,870082.931345,849825.859131
2019,943805.822578,911396.811066
2020,979874.234614,941746.663433
2021,1018240.15186,976181.070904
2022,1052190.40848,1007272.04769
2023,1072838.65705,1025775.83639
2024,1102356.42198,1053506.55142
2025,1132210.80837,1081573.88791
2026,1166074.9365,1112936.14618
2027,1187817.20484,1132533.95465
2028,1218698.28671,1161627.98662
2029,1251836.70555,1192621.94559
2030,1281470.31486,1220825.91498
2031,1317337.34071,1254191.07098
2032,1353675.63663,1288027.49704
2033,1379156.37639,1311006.36695
2034,1416319.3949,1345667.5156
2035,1438211.16977,1365772.24058
2036,1478254.27496,1402956.06593
