year,annotation,Average Load
2003,,137.0
2004,,130.0
2005,,127.0
2006,,126.0
2007,,120.0
2008,,119.0
2009,,122.0
2010,,116.0
2011,,127.0
2012,,130.0
2013,,131.0
2014,start of forecast,131.0
2015,,132.0
2016,,132.0
2017,,133.0
2018,,133.0
2019,,134.0
2020,,134.0
2021,,135.0
2022,,136.0
2023,,136.0
2024,,137.0
2025,,137.0
2026,,138.0
2027,,139.0
2028,,139.0
2029,,140.0
2030,,141.0
2031,,141.0
2032,,142.0
2033,,142.0
2034,,143.0
2035,,143.0
2036,,144.0
2037,,145.0
2038,,145.0
2039,,146.0
2040,,146.0
