year,Base case cost,"Perryvillle (unnamed stream, site #1) -- unnamed creek, 1","Perryville -- unnamed creek, 2"
2021,176745.817144,1741704.69059,1662321.22908
2022,187824.72138,1740329.46566,1667391.76998
2023,197795.193181,1741997.18467,1673356.66621
2024,206443.815309,1744003.60458,1678800.82789
2025,215001.802985,1744258.83947,1683353.24001
2026,223500.554087,1741964.01195,1686644.74288
2027,231595.823365,1741756.52845,1690734.4366
2028,239367.968541,1742056.19612,1694901.56377
2029,241529.231068,1735084.43059,1692656.69317
2030,243035.120666,1730778.39324,1691358.67988
2031,249362.528203,1726312.22216,1692478.83919
2032,259699.511245,1725855.62658,1697608.574
2033,271602.438959,1726964.97568,1704304.25348
2034,283789.786289,1727528.46911,1710883.79502
2035,291411.072604,1728507.5532,1715300.62089
2036,299690.540356,1725163.16706,1717972.28286
2037,303126.976252,1721127.12545,1717803.70075
2038,309471.746126,1715848.04143,1718540.66483
2039,316367.253249,1713610.52049,1721030.03884
2040,326847.842534,1711636.9806,1725502.26478
2041,329971.057754,1714760.19582,1728625.48
2042,331532.666483,1716321.80455,1730187.08873
2043,331532.665654,1716321.80372,1730187.0879
2044,330491.594114,1715280.73218,1729146.01636
2045,329971.058436,1714760.1965,1728625.48068
2046,329971.058269,1714760.19634,1728625.48052
2047,330491.594173,1715280.73224,1729146.01642
2048,331012.130041,1715801.26811,1729666.55229
2049,330491.594161,1715280.73223,1729146.01641
2050,329971.058326,1714760.19639,1728625.48057
