year,Base case cost,Modeled non-residential energy efficiency
2017,401311.088804,422426.934511
2018,430542.273497,449421.333532
2019,470909.147595,486699.313132
2020,490396.604057,504695.579146
2021,503620.235227,516907.331084
2022,514059.944046,526548.187877
2023,521019.749925,532975.425739
2024,526587.594628,538117.216028
2025,533547.400507,544544.45389
2026,542595.14815,552899.863111
2027,549554.954029,559327.100973
2028,555818.779321,565111.615049
2029,563474.565788,572181.576697
2030,568346.429903,576680.643201
2031,577394.177546,585036.052421
