year,Base case cost,Modeled water and wastewater efficiency
2017,64027.3494569,51549.7614285
2018,68126.1680353,54393.4696367
2019,73797.3431458,58328.3440018
2020,76520.164668,60217.2989984
2021,78357.6115261,61491.8678637
2022,79789.5672352,62484.8602932
2023,80720.8877039,63130.3029907
2024,81463.8873885,63645.2094206
2025,82410.4153413,64301.4833561
2026,83661.4379013,65169.2346211
2027,84614.8761188,65830.435243
2028,85467.5630629,66421.6862501
2029,86565.1567421,67183.6506532
2030,87260.8918447,67666.5942769
2031,88531.5995938,68548.329761
