year,Base case cost,Modeled biomass for heat (cordwood)
2017,162141.458592,208730.456044
2018,180817.718592,221439.749718
2019,207928.418592,240411.375381
2020,220580.078592,248716.960889
2021,229616.978592,254374.332371
2022,236244.038592,258273.848607
2023,240461.258592,260414.946748
2024,244678.478592,262578.947426
2025,248895.698592,264765.313861
2026,254920.298592,268309.924571
2027,259739.978592,270984.929789
2028,263354.738592,272789.829598
2029,268776.878592,275951.473659
2030,271789.178592,277351.112216
2031,277813.778592,280997.487836
2032,,
2033,,
2034,,
2035,,
2036,,
