year,Base case cost,Modeled biomass for heat (pellet)
2017,162141.458592,192019.274093
2018,180817.718592,204879.596607
2019,207928.418592,223767.515492
2020,220580.078592,232351.58013
2021,229616.978592,238367.37237
2022,236244.038592,242674.186585
2023,240461.258592,245271.786168
2024,244678.478592,247879.013378
2025,248895.698592,250495.642566
2026,254920.298592,254410.758364
2027,259739.978592,257475.30393
2028,263354.738592,259689.06911
2029,268776.878592,263200.690329
2030,271789.178592,265001.588864
2031,277813.778592,268959.483966
2032,,
2033,,
2034,,
2035,,
2036,,
