year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,60246.0,42976.8330606
2018,60246.0,42976.8330606
2019,60246.0,42976.8330606
2020,60246.0,42976.8330606
2021,60246.0,42976.8330606
2022,60246.0,42976.8330606
2023,60246.0,42976.8330606
2024,60246.0,42976.8330606
2025,60246.0,42976.8330606
2026,60246.0,42976.8330606
2027,60246.0,42976.8330606
2028,60246.0,42976.8330606
2029,60246.0,42976.8330606
2030,60246.0,42976.8330606
2031,60246.0,42976.8330606
2032,,
2033,,
2034,,
2035,,
2036,,
