year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,1939011.0,876.69,1712700.0,0.0,1712700.0
2004,,1939011.0,876.69,1731800.0,0.0,1731800.0
2005,,1939011.0,876.69,1670400.0,0.0,1670400.0
2006,,1939011.0,876.69,1691700.0,0.0,1691700.0
2007,,1939011.0,876.69,1764475.0,0.0,1764475.0
2008,,1939011.0,876.69,1802615.0,0.0,1802615.0
2009,,1939011.0,876.69,2607407.0,1594752.0,1012655.0
2010,,1939011.0,876.69,1907180.0,1868080.0,39100.0
2011,,1939011.0,876.69,2095905.0,1954519.0,141386.0
2012,,1939011.0,876.69,2200801.0,1975298.0,225503.0
2013,,1939011.0,876.69,2031299.0,1939012.0,92287.0
2014,,1939011.0,876.69,2011054.0,1974158.0,36896.0
2015,,1939011.0,876.69,2149275.0,2115992.0,33283.0
2016,start of forecast,1939011.0,876.69,1913000.0,1858844.67,54155.33
2017,,1939011.0,876.69,1915000.0,1860844.67,54155.33
2018,,1939011.0,876.69,1916000.0,1861844.67,54155.33
2019,,1939011.0,876.69,1916000.0,1861844.67,54155.33
2020,,1939011.0,876.69,1917000.0,1862844.67,54155.33
2021,,1939011.0,876.69,1917000.0,1862844.67,54155.33
2022,,1939011.0,876.69,1918000.0,1863844.67,54155.33
2023,,1939011.0,876.69,1919000.0,1864844.67,54155.33
2024,,1939011.0,876.69,1919000.0,1864844.67,54155.33
2025,,1939011.0,876.69,1919000.0,1864844.67,54155.33
2026,,1939011.0,876.69,1920000.0,1865844.67,54155.33
2027,,1939011.0,876.69,1920000.0,1865844.67,54155.33
2028,,1939011.0,876.69,1921000.0,1866844.67,54155.33
2029,,1939011.0,876.69,1920000.0,1865844.67,54155.33
2030,,1939011.0,876.69,1920000.0,1865844.67,54155.33
2031,,1939011.0,876.69,1921000.0,1866844.67,54155.33
2032,,1939011.0,876.69,1923000.0,1868844.67,54155.33
2033,,1939011.0,876.69,1925000.0,1870844.67,54155.33
2034,,1939011.0,876.69,1927000.0,1872844.67,54155.33
2035,,1939011.0,876.69,1929000.0,1874844.67,54155.33
2036,,1939011.0,876.69,1931000.0,1876844.67,54155.33
2037,,1939011.0,876.69,1934000.0,1879844.67,54155.33
2038,,1939011.0,876.69,1936000.0,1881844.67,54155.33
2039,,1939011.0,876.69,1939000.0,1884844.67,54155.33
2040,,1939011.0,876.69,1943000.0,1888844.67,54155.33
