year,annotation,diesel generation efficiency
2002,,12.7
2003,,12.59
2004,,12.18
2005,,12.32
2006,,13.52
2007,,13.4
2008,,14.75
2009,,15.47
2010,,11.47
2011,,11.11
2012,,13.29
2013,,13.42
2014,,13.89
2015,,14.45
2016,start of forecast,13.92
2017,,13.92
2018,,13.92
2019,,13.92
2020,,13.92
2021,,13.92
2022,,13.92
2023,,13.92
2024,,13.92
2025,,13.92
2026,,13.92
2027,,13.92
2028,,13.92
2029,,13.92
2030,,13.92
2031,,13.92
2032,,13.92
2033,,13.92
2034,,13.92
2035,,13.92
2036,,13.92
2037,,13.92
2038,,13.92
2039,,13.92
2040,,13.92
