year,population
2003,98.0
2004,105.0
2005,98.0
2006,105.0
2007,114.0
2008,107.0
2009,115.0
2010,104.0
2011,100.0
2012,100.0
2013,100.0
2014,100.0
2015,100.0
2016,100.0
2017,100.0
2018,101.0
2019,101.0
2020,101.0
2021,102.0
2022,102.0
2023,102.0
2024,102.0
2025,102.0
2026,103.0
2027,103.0
2028,103.0
2029,104.0
2030,104.0
2031,104.0
2032,105.0
2033,105.0
2034,106.0
2035,106.0
2036,106.0
2037,107.0
2038,107.0
2039,107.0
2040,108.0
