year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,46264.0,33037.8134251
2018,46264.0,33037.8134251
2019,46264.0,33037.8134251
2020,46264.0,33037.8134251
2021,46264.0,33037.8134251
2022,46264.0,33037.8134251
2023,46264.0,33037.8134251
2024,46264.0,33037.8134251
2025,46264.0,33037.8134251
2026,46264.0,33037.8134251
2027,46264.0,33037.8134251
2028,46264.0,33037.8134251
2029,46264.0,33037.8134251
2030,46264.0,33037.8134251
2031,46264.0,33037.8134251
2032,,
2033,,
2034,,
2035,,
2036,,
