year,Base case diesel consumed,Modeled transmission and interties
2021,34843.0822838,0.0
2022,34843.0822838,0.0
2023,34749.9189622,0.0
2024,34749.9189622,0.0
2025,34749.9189622,0.0
2026,34749.9189622,0.0
2027,34656.7556406,0.0
2028,34656.7556406,0.0
2029,34563.592319,0.0
2030,34563.592319,0.0
2031,34563.592319,0.0
2032,34470.4289973,0.0
2033,34470.4289973,0.0
2034,34377.2656757,0.0
2035,34377.2656757,0.0
2036,34377.2656757,0.0
2037,34284.1023541,0.0
2038,34284.1023541,0.0
2039,34284.1023541,0.0
2040,34190.9390325,0.0
