year,Base case diesel consumed,Modeled non-residential ashp
2017,46264.2016682,32421.7411539
2018,46264.2016682,32421.7411539
2019,46264.2016682,32421.7411539
2020,46264.2016682,32421.7411539
2021,46264.2016682,32421.7411539
2022,46264.2016682,32421.7411539
2023,46264.2016682,32421.7411539
2024,46264.2016682,32421.7411539
2025,46264.2016682,32421.7411539
2026,46264.2016682,32421.7411539
2027,46264.2016682,32421.7411539
2028,46264.2016682,32421.7411539
2029,46264.2016682,32421.7411539
2030,46264.2016682,32421.7411539
2031,46264.2016682,32421.7411539
