year,Base case cost,Modeled biomass for heat (pellet)
2017,164736.490077,177969.283029
2018,177690.410077,186827.106267
2019,195733.370077,199328.2944
2020,204523.530077,205230.909514
2021,210537.850077,209160.034795
2022,215164.250077,212106.598886
2023,218402.730077,214070.400854
2024,221178.570077,215712.000742
2025,223954.410077,217361.585058
2026,228118.170077,220010.101067
2027,231356.650077,222005.475354
2028,234132.490077,223677.907585
2029,237370.970077,225687.979742
2030,239684.170077,227044.38723
2031,243847.930077,229729.23264
2032,,
2033,,
2034,,
2035,,
2036,,
