year,Base case cost,Modeled water and wastewater efficiency
2017,50217.0466657,40305.7504465
2018,53591.5380032,42431.3712077
2019,58290.6385998,45449.800431
2020,60580.6007406,46853.9331308
2021,62147.8591635,47776.0500801
2022,63353.3381034,48458.1092239
2023,64197.1285519,48900.0881135
2024,64920.5340028,49264.2305598
2025,65644.2051198,49631.6557698
2026,66729.4852475,50245.0562273
2027,67574.002923,50699.666292
2028,68297.9177384,51075.8854316
2029,69142.2042045,51535.6184272
2030,69745.6312851,51836.164543
2031,70830.5428165,52462.6157381
