year,annotation,diesel generation efficiency
2002,,10.77
2003,,10.58
2004,,10.9
2005,,10.63
2006,,10.53
2007,,10.64
2008,,10.32
2009,,10.64
2010,,10.5
2011,,10.85
2012,,10.89
2013,,10.91
2014,,10.88
2015,,10.4
2016,start of forecast,10.73
2017,,10.73
2018,,10.73
2019,,10.73
2020,,10.73
2021,,10.73
2022,,10.73
2023,,10.73
2024,,10.73
2025,,10.73
2026,,10.73
2027,,10.73
2028,,10.73
2029,,10.73
2030,,10.73
2031,,10.73
2032,,10.73
2033,,10.73
2034,,10.73
2035,,10.73
2036,,10.73
2037,,10.73
2038,,10.73
2039,,10.73
2040,,10.73
