year,Base case cost,Modeled residential energy efficiency
2017,299374.045224,275357.329871
2018,320481.416775,292394.773886
2019,349797.210597,316057.890574
2020,364455.107508,327889.448918
2021,373836.16153,335461.646258
2022,381458.267924,341614.056597
2023,386735.110812,345873.417601
2024,390839.321947,349186.253937
2025,396116.164835,353445.614941
2026,401979.323599,358178.238279
2027,407256.166487,362437.599283
2028,398709.020306,352986.02476
2029,404382.570262,357529.039289
2030,407786.700235,360254.848007
2031,414027.605187,365252.163989
2032,420268.510138,370249.479971
2033,427076.770085,375701.097406
2034,433317.675036,380698.413388
2035,437856.515001,384332.825011
2036,429891.270406,375010.937904
