year,Base case diesel consumed,"Valdez, tatitlek (indian creek)",Cordova (silver lake)
2021,43287.5646392,9190.99498759,0.0
2022,43287.5646392,9190.99498759,0.0
2023,43287.5646392,9190.99498759,0.0
2024,43287.5646392,9190.99498759,0.0
2025,43287.5646392,9190.99498759,0.0
2026,43287.5646392,9190.99498759,0.0
2027,43287.5646392,9190.99498759,0.0
2028,43287.5646392,9190.99498759,0.0
2029,43204.9547831,9108.38513141,-82.6098561818
2030,43204.9547831,9108.38513141,-82.6098561818
2031,43204.9547831,9108.38513141,-82.6098561818
2032,43204.9547831,9108.38513141,-82.6098561818
2033,43204.9547831,9108.38513141,-82.6098561818
2034,43204.9547831,9108.38513141,-82.6098561818
2035,43204.9547831,9108.38513141,-82.6098561818
2036,43204.9547831,9108.38513141,-82.6098561818
2037,43122.3449269,9025.77527523,-165.219712364
2038,43122.3449269,9025.77527523,-165.219712364
2039,43122.3449269,9025.77527523,-165.219712364
2040,43122.3449269,9025.77527523,-165.219712364
2041,43122.3449269,9025.77527523,-165.219712364
2042,43122.3449269,9025.77527523,-165.219712364
2043,43122.3449269,9025.77527523,-165.219712364
2044,43039.7350707,8943.16541905,-247.829568545
2045,43039.7350707,8943.16541905,-247.829568545
2046,43039.7350707,8943.16541905,-247.829568545
2047,43039.7350707,8943.16541905,-247.829568545
2048,43039.7350707,8943.16541905,-247.829568545
2049,43039.7350707,8943.16541905,-247.829568545
2050,43039.7350707,8943.16541905,-247.829568545
