year,Base case cost,Modeled wind power
2019,1119188.31994,1359888.71404
2020,1176543.75717,1407851.67773
2021,1215688.34568,1440609.38423
2022,1245731.09791,1465768.05021
2023,1266265.12699,1482920.78882
2024,1284921.61369,1498571.68398
2025,1303179.82489,1513824.30365
2026,1328702.51635,1535214.30675
2027,1350097.68162,1553228.18155
2028,1366517.81917,1567018.42651
2029,1389805.59672,1586549.21464
2030,1403961.39821,1598450.82248
2031,1429562.30954,1619919.04545
2032,1455179.00836,1641403.05591
2033,1478522.75976,1660989.81789
2034,1506459.7685,1684418.43933
2035,1522963.14922,1698291.92746
2036,1548155.02086,1719351.11074
2037,1564676.34192,1733242.5392
2038,1592166.99507,1756224.80505
