year,Base case cost,Modeled solar power
2020,188094.567881,190098.595598
2021,194195.333811,196028.640891
2022,199082.575444,200772.960922
2023,202331.944226,203900.5796
2024,205179.665418,206635.36837
2025,208884.869,210224.491123
2026,212549.717155,213770.191581
2027,215807.796839,216917.711573
2028,218727.919221,219741.40499
2029,222400.706228,223303.086802
2030,224441.166028,225257.667302
2031,228521.815911,229226.628545
2032,232194.524958,232795.818131
2033,236275.281195,236770.006775
2034,240880.722427,241271.383413
2035,243334.525477,243645.280834
2036,247833.146872,248039.13184
2037,250286.937166,250417.292289
2038,254376.595226,254412.090678
2039,258209.557015,258162.960294
