year,Base case diesel consumed,Modeled solar power
2020,40537.6223882,39925.4383471
2021,40541.8233426,39934.5367738
2022,40629.0970293,40026.6687531
2023,40628.904463,40031.295613
2024,40629.6367165,40036.8087372
2025,40718.2980507,40130.2126953
2026,40718.3366197,40134.9559472
2027,40718.4522338,40139.7386066
2028,40807.4476159,40233.3636977
2029,40807.4690327,40237.9777859
2030,40807.4847323,40242.5494154
2031,40807.467127,40247.0512927
2032,40807.4736307,40251.541123
2033,40807.4751633,40255.9901157
2034,40896.5572881,40349.4841209
2035,40896.5589036,40353.8623218
2036,40896.5588898,40358.2038806
2037,40896.5583605,40362.5101914
2038,40896.558718,40366.7829342
2039,40985.6439706,40460.1063931
