year,population
2003,73.0
2004,80.0
2005,78.0
2006,72.0
2007,66.0
2008,80.0
2009,74.0
2010,68.0
2011,67.0
2012,66.0
2013,66.0
2014,65.0
2015,65.0
2016,64.0
2017,64.0
2018,63.0
2019,63.0
2020,63.0
2021,62.0
2022,62.0
2023,61.0
2024,60.0
2025,60.0
2026,60.0
2027,59.0
2028,59.0
2029,59.0
2030,59.0
2031,59.0
2032,58.0
2033,57.0
2034,57.0
2035,56.0
2036,56.0
2037,56.0
2038,56.0
2039,56.0
2040,55.0
