year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6192.38736343,4025.05178623
2018,6191.51350054,4024.48377535
2019,6190.84299465,4024.04794652
2020,6190.05944667,4023.53864034
2021,6189.02247171,4022.86460661
2022,6187.5752198,4021.92389287
2023,6185.67779693,4020.690568
2024,6184.027242,4019.6177073
2025,6182.63224642,4018.71096018
2026,6181.61138563,4018.04740066
2027,6180.39847743,4017.25901033
2028,6179.04742467,4016.38082604
2029,6179.48687986,4016.66647191
2030,6179.48504441,4016.66527887
2031,6179.02850335,4016.36852718
