year,Base case cost,Modeled non-residential energy efficiency
2017,1021102.8486,1032433.81095
2018,1068162.32243,1073034.32173
2019,1130908.28754,1128213.45322
2020,1160538.32662,1152827.48795
2021,1181453.64832,1169445.90863
2022,1197140.1396,1181291.61697
2023,1207597.80045,1188363.11432
2024,1216312.51783,1193883.37347
2025,1226770.17868,1201075.40152
2026,1238970.78301,1209937.80274
2027,1251171.38733,1218856.99598
2028,1259886.10471,1224607.21386
2029,1272086.70904,1233636.02913
2030,1279058.48294,1237881.08162
2031,1291259.08727,1247014.4406
