year,annotation,Average Load
2003,,188.0
2004,,188.0
2005,,199.0
2006,,195.0
2007,,188.0
2008,,197.0
2009,,207.0
2010,,209.0
2011,,203.0
2012,,210.0
2013,,212.0
2014,,209.0
2015,,203.0
2016,start of forecast,210.0
2017,,212.0
2018,,214.0
2019,,215.0
2020,,217.0
2021,,219.0
2022,,221.0
2023,,223.0
2024,,225.0
2025,,226.0
2026,,228.0
2027,,230.0
2028,,232.0
2029,,234.0
2030,,235.0
2031,,237.0
2032,,239.0
2033,,240.0
2034,,242.0
2035,,243.0
2036,,245.0
2037,,247.0
2038,,248.0
2039,,250.0
2040,,251.0
