year,Base case diesel consumed,Modeled diesel efficiency
2019,116177.070042,105615.51822
2020,117365.031668,106695.483335
2021,118411.825951,107647.114501
2022,119855.713931,108959.739938
2023,121057.290328,110052.082116
2024,122361.957915,111238.143559
2025,123654.030336,112412.754851
2026,124895.49757,113541.361428
2027,126150.261751,114682.056137
2028,127339.114996,115762.831815
2029,128739.944184,117036.312895
2030,130070.702855,118246.093505
2031,131328.24009,119389.309173
2032,132436.204354,120396.549412
2033,133471.185209,121337.441099
2034,134580.041094,122345.491903
2035,135614.698295,123286.089359
2036,136723.472742,124294.066129
2037,137906.12152,125369.201382
2038,139014.814995,126377.104541
