year,Base case cost,Modeled solar power (pv)
2016,211851.747744,
2017,255532.075503,
2018,285970.154845,
2019,333428.191021,
2020,356789.696272,
2021,374181.370004,
2022,389531.070277,
2023,400699.630985,
2024,411136.178593,
2025,422896.783748,
2026,435885.286521,
2027,449094.931834,
2028,459694.205137,
2029,473762.994597,
2030,483863.014622,
2031,497734.029941,
2032,512528.110848,
2033,525876.469724,
2034,541011.765197,
2035,551951.822059,
