year,annotation,diesel generation efficiency
2002,,13.82
2003,,13.88
2004,,13.82
2005,,13.49
2006,,13.26
2007,,13.15
2008,,13.37
2009,,13.38
2010,,13.43
2011,,12.76
2012,,13.63
2013,,13.37
2014,,13.72
2015,,13.5
2016,start of forecast,13.53
2017,,13.53
2018,,13.53
2019,,13.53
2020,,13.53
2021,,13.53
2022,,13.53
2023,,13.53
2024,,13.53
2025,,13.53
2026,,13.53
2027,,13.53
2028,,13.53
2029,,13.53
2030,,13.53
2031,,13.53
2032,,13.53
2033,,13.53
2034,,13.53
2035,,13.53
2036,,13.53
2037,,13.53
2038,,13.53
2039,,13.53
2040,,13.53
