year,Base case cost,Modeled diesel efficiency
2019,179920.005344,334980.644705
2020,190150.848292,340263.825017
2021,197033.525063,342597.38
2022,202361.860928,343609.853045
2023,205938.96453,343120.096989
2024,209204.226458,342434.543652
2025,212776.005934,342113.28265
2026,217044.282726,342508.833976
2027,219952.067611,341749.247098
2028,223173.215351,341354.293823
2029,226890.166101,341487.959919
2030,229077.875398,340307.469929
2031,233277.69914,341030.455897
2032,237968.001766,342271.871637
2033,242139.683698,343112.653662
2034,246800.323336,344467.122248
2035,249438.200277,344050.273573
2036,254071.458695,345513.382786
2037,256688.039131,345207.57667
2038,261293.916329,346773.140571
