year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.65
2001,,,2.65
2003,,1.74,2.73
2004,,1.96,2.73
2005,,2.34,3.5
2006,,2.92,3.86
2008,,3.92,5.27
2009,,4.62,7.75
2010,,,4.48
2011,,,5.36
2012,,4.05,6.35
2013,,4.62,6.25
2014,,,6.48
2016,start of forecast,2.29,5.02
2017,,2.73,5.46
2018,,3.05,5.78
2019,,3.5,6.23
2020,,3.71,6.44
2021,,3.85,6.58
2022,,3.96,6.69
2023,,4.03,6.76
2024,,4.1,6.83
2025,,4.17,6.9
2026,,4.26,6.99
2027,,4.33,7.06
2028,,4.4,7.13
2029,,4.48,7.21
2030,,4.53,7.26
2031,,4.62,7.35
2032,,4.72,7.45
2033,,4.81,7.54
2034,,4.91,7.64
2035,,4.97,7.7
2036,,5.07,7.8
2037,,5.13,7.86
2038,,5.23,7.96
2039,,5.3,8.03
2040,,5.41,8.14
