year,Base case cost,Modeled water and wastewater efficiency
2017,42073.0310959,37850.7090827
2018,43933.9650157,38987.7906983
2019,46587.374665,40691.4169923
2020,47521.7942312,41178.7637789
2021,48177.5655886,41473.2797077
2022,48682.7199845,41665.1026504
2023,49133.1034115,41822.8109594
2024,49457.4696041,41894.3570423
2025,49871.8381717,42033.8644422
2026,50272.4271311,42166.6379448
2027,50188.6118854,41957.7402038
2028,50384.5869677,41952.0179247
2029,50661.5425698,42007.2290349
2030,50695.3663817,41892.9771655
2031,51186.3539031,42107.2197522
