year,Base case cost,"Napaskiak wind, power and heat recovery",Modeled wind power
2019,234152.510377,442643.093325,411596.157073
2020,246101.316052,441278.354861,416829.068982
2021,253595.786186,437677.875226,418409.774189
2022,259373.270394,433545.570719,418724.938617
2023,262698.84667,428142.875784,417037.220603
2024,265540.256039,422747.505037,415079.860892
2025,268753.823553,417525.840581,413474.739678
2026,272311.366361,412446.306227,412191.420619
2027,273941.635826,405920.807726,409188.591687
2028,275966.465188,400267.942164,406785.937016
2029,279573.869962,395642.86252,405821.167481
2030,280137.526958,389475.563982,402362.32224
2031,283040.360487,384056.849995,400745.706216
2032,286107.955291,379268.766751,399491.361511
2033,289744.265552,374825.925882,398769.196173
2034,293289.523529,370408.98693,398033.647118
2035,294158.856049,364460.037853,395046.226724
2036,296844.898426,359409.632496,393601.380725
2037,298226.580703,354193.491417,391272.715053
2038,301411.965367,349857.719611,390470.184949
