year,Base case cost,Modeled solar power (pv)
2016,156538.387317,166743.70056
2017,184655.477128,194176.796247
2018,205324.345585,214284.063051
2019,234152.510377,242431.524971
2020,246101.316052,253960.068889
2021,253595.786186,261107.08892
2022,259373.270394,266576.458756
2023,262698.84667,269632.338327
2024,265540.256039,272220.725424
2025,268753.823553,275176.884061
2026,272311.366361,278472.747577
2027,273941.635826,279857.52704
2028,275966.465188,281652.68159
2029,279573.869962,285015.828961
2030,280137.526958,285380.586491
2031,283040.360487,288040.147952
2032,286107.955291,290879.799902
2033,289744.265552,294283.756542
2034,293289.523529,297601.985198
2035,294158.856049,298278.117186
