year,Base case diesel consumed,"Napaskiak wind, power and heat recovery",Modeled wind power
2019,72046.9262697,39429.9603214,61017.1155053
2020,71541.0802478,38924.1142994,60511.2694833
2021,71035.2342258,38418.2682775,60005.4234614
2022,70673.9156387,38056.9496904,59644.1048743
2023,70240.3333342,37623.3673858,59210.5225697
2024,69879.0147471,37262.0487987,58849.2039826
2025,69445.4324425,36828.4664942,58415.6216781
2026,68939.5864206,36322.6204722,57909.7756561
2027,68144.6855289,35527.7195806,57114.8747645
2028,67638.839507,35021.8735586,56609.0287425
2029,67205.2572024,34588.2912541,56175.446438
2030,66699.4111805,34082.4452322,55669.600416
2031,65976.7740063,33359.8080579,54946.9632418
2032,65470.9279843,32853.962036,54441.1172199
2033,64965.0819624,32348.116014,53935.2711979
2034,64459.2359404,31842.2699921,53429.425176
2035,63808.8624836,31191.8965353,52779.0517192
2036,63158.4890268,30541.5230785,52128.6782624
2037,62652.6430049,30035.6770565,51622.8322404
2038,62146.7969829,29529.8310346,51116.9862185
