year,Base case cost,"Napaskiak, alaska heat recovery study"
2019,388042.408719,393778.430202
2020,401570.115187,405031.45346
2021,410825.91435,412437.990815
2022,417945.75986,417932.475575
2023,422929.651717,421514.370296
2024,427201.559023,424473.139224
2025,432185.45088,428098.258916
2026,437881.327288,432389.228836
2027,442865.219145,436055.571075
2028,447137.126451,439096.808281
2029,452833.002859,443447.457955
2030,455680.941062,445237.097554
2031,462088.802021,450270.233463
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
