year,Base case cost,Modeled residential energy efficiency
2017,658091.03452,672833.040462
2018,699040.152951,705226.689652
2019,762551.665207,757937.872985
2020,792775.848376,781852.914422
2021,825055.276493,809040.360442
2022,845624.593253,825155.891796
2023,862817.628813,838531.916226
2024,878964.233505,851111.890729
2025,896494.042332,864939.089528
2026,924526.689739,889131.822321
2027,951675.05637,912686.680321
2028,977864.30372,935527.561644
2029,997675.378725,951656.673086
2030,1021746.81817,972866.359336
2031,1052871.48221,1000215.78484
2032,1073443.41534,1017252.85779
2033,1105328.9375,1045457.77179
2034,1127832.89046,1064326.77492
2035,1156167.50825,1089648.53747
2036,1189213.02722,1119147.23803
