year,Base case cost,Modeled non-residential energy efficiency
2017,518364.531129,564010.2582
2018,547814.199166,589167.024954
2019,589043.734419,625309.962761
2020,607695.190843,640543.95799
2021,620456.713659,650359.171188
2022,630273.269672,657488.22405
2023,637144.858881,661930.000868
2024,643034.792488,665505.921541
2025,649906.381697,670037.4315
2026,657759.626507,675523.491647
2027,664631.215716,680140.577801
2028,670521.149323,683887.698998
2029,678374.394133,689497.651692
2030,682301.016538,691501.962464
2031,691135.91695,698101.000984
