year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9683.22625321,6171.85439281
2018,9766.05133615,6224.64509898
2019,9850.14987084,6278.24747253
2020,9932.28134066,6330.59608647
2021,10028.7908896,6392.10894053
2022,10092.64442,6432.80763761
2023,10161.9906535,6477.00725091
2024,10235.5835539,6523.91358705
2025,10307.2834113,6569.61334338
2026,10388.9515585,6621.66664669
2027,10536.5211769,6715.723955
2028,10620.9308779,6769.52465847
2029,10705.5009599,6823.42758484
2030,10790.6769252,6877.71668665
2031,10911.13943,6954.4965759
