year,Base case diesel consumed,Modeled residential ashp
2017,76695.2316821,10474.5803183
2018,77637.670478,11417.0191142
2019,79522.5480698,13301.896706
2020,80464.9868657,14244.3355019
2021,82349.8644575,16129.2130937
2022,83292.3032534,17071.6518896
2023,84234.7420493,18014.0906855
2024,85177.1808452,18956.5294814
2025,86119.6196411,19898.9682774
2026,88004.4972329,21783.8458692
2027,89889.3748247,23668.723461
2028,91774.2524166,25553.6010528
2029,92716.6912125,26496.0398487
2030,94601.5688043,28380.9174405
2031,96486.4463961,30265.7950323
