year,Base case diesel consumed,Modeled solar power (pv)
2016,73492.2006182,72381.0086122
2017,72986.3545962,71884.0521263
2018,72552.7722917,71459.2882415
2019,72046.9262697,70962.190092
2020,71541.0802478,70465.0219595
2021,71035.2342258,69967.7844038
2022,70673.9156387,69615.0054153
2023,70240.3333342,69189.8943925
2024,69879.0147471,68836.979317
2025,69445.4324425,68411.7332959
2026,68939.5864206,67914.1568671
2027,68144.6855289,67127.4594119
2028,67638.839507,66629.7511989
2029,67205.2572024,66204.2416008
2030,66699.4111805,65706.4037037
2031,65976.7740063,64991.7105892
2032,65470.9279843,64493.7450746
2033,64965.0819624,63995.716516
2034,64459.2359404,63497.6254176
2035,63808.8624836,62854.944845
