year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,71198.0,52644.7288283
2018,71198.0,52644.7288283
2019,71198.0,52644.7288283
2020,71198.0,52644.7288283
2021,71198.0,52644.7288283
2022,71198.0,52644.7288283
2023,71198.0,52644.7288283
2024,71198.0,52644.7288283
2025,71198.0,52644.7288283
2026,71198.0,52644.7288283
2027,71198.0,52644.7288283
2028,71198.0,52644.7288283
2029,71198.0,52644.7288283
2030,71198.0,52644.7288283
2031,71198.0,52644.7288283
2032,,
2033,,
2034,,
2035,,
2036,,
