year,Base case cost,Modeled biomass for heat (cordwood)
2017,1481286.67357,1695984.52331
2018,1622603.37357,1800476.15244
2019,1816409.13357,1943778.9581
2020,1913312.01357,2015430.36093
2021,1977913.93357,2063197.96281
2022,2026365.37357,2099023.66423
2023,2062703.95357,2125892.94029
2024,2090967.29357,2146791.26612
2025,2123268.25357,2170675.06706
2026,2167682.07357,2203515.29336
2027,2204020.65357,2230384.56942
2028,2232283.99357,2251282.89525
2029,2272660.19357,2281137.64642
2030,2292848.29357,2296065.02201
2031,2337262.11357,2328905.24831
2032,,
2033,,
2034,,
2035,,
2036,,
