year,annotation,Average Load
2003,,290.0
2004,,279.0
2005,,269.0
2006,,304.0
2007,,322.0
2008,,346.0
2009,,332.0
2010,,312.0
2011,,311.0
2012,,355.0
2013,,317.0
2014,,286.0
2015,,300.0
2016,start of forecast,304.0
2017,,304.0
2018,,304.0
2019,,305.0
2020,,305.0
2021,,305.0
2022,,306.0
2023,,307.0
2024,,308.0
2025,,308.0
2026,,309.0
2027,,309.0
2028,,309.0
2029,,309.0
2030,,310.0
2031,,310.0
2032,,310.0
2033,,310.0
2034,,310.0
2035,,310.0
2036,,310.0
2037,,311.0
2038,,310.0
2039,,310.0
2040,,310.0
