year,annotation,diesel generation efficiency
2002,,12.37
2003,,12.73
2004,,13.18
2005,,13.4
2006,,13.62
2007,,13.87
2008,,13.23
2009,,13.54
2010,,13.7
2011,,13.53
2012,,13.37
2013,,13.82
2014,,14.11
2015,,13.94
2016,start of forecast,13.96
2017,,13.96
2018,,13.96
2019,,13.96
2020,,13.96
2021,,13.96
2022,,13.96
2023,,13.96
2024,,13.96
2025,,13.96
2026,,13.96
2027,,13.96
2028,,13.96
2029,,13.96
2030,,13.96
2031,,13.96
2032,,13.96
2033,,13.96
2034,,13.96
2035,,13.96
2036,,13.96
2037,,13.96
2038,,13.96
2039,,13.96
2040,,13.96
