year,Base case cost,Selawik heat recovery
2019,1055357.39729,1059068.88912
2020,1088420.50834,1091390.59963
2021,1112782.80069,1115117.00122
2022,1130184.43809,1131968.70232
2023,1144105.748,1145387.12993
2024,1152806.5667,1153651.27449
2025,1164987.71287,1165365.0135
2026,1180649.18653,1180528.16024
2027,1192830.3327,1192257.2774
2028,1203271.31514,1202273.00064
2029,1217192.62505,1215737.59727
2030,1225893.44375,1224046.82878
2031,1241554.91741,1239246.22549
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
