year,Base case diesel consumed,Modeled wind power
2019,195771.315055,174929.086504
2020,195627.185409,174784.956858
2021,195834.484357,174992.255806
2022,196436.957317,175594.728766
2023,196969.326952,176127.098401
2024,197679.428827,176837.200276
2025,197983.921436,177141.692885
2026,198260.738541,177418.509991
2027,198332.95267,177490.724119
2028,198479.14267,177636.914119
2029,198835.286496,177993.057945
2030,199193.988801,178351.760251
2031,199051.093164,178208.864613
2032,199122.324527,178280.095977
2033,199050.81755,178208.589
2034,199194.163881,178351.93533
2035,199337.389161,178495.16061
2036,199409.077372,178566.848821
2037,199552.381072,178710.152521
2038,198979.157759,178136.929209
