year,Base case diesel consumed,Modeled residential ashp
2017,509159.549624,46907.9935476
2018,507531.800912,45280.2448358
2019,509159.549624,46907.9935476
2020,509159.549624,46907.9935476
2021,510787.298336,48535.7422595
2022,512415.047047,50163.4909713
2023,514042.795759,51791.2396832
2024,517298.293183,55046.7371068
2025,518926.041895,56674.4858187
2026,518926.041895,56674.4858187
2027,518926.041895,56674.4858187
2028,520553.790607,58302.2345305
2029,522181.539318,59929.9832424
2030,522181.539318,59929.9832424
2031,522181.539318,59929.9832424
