year,Base case diesel consumed,Selawik heat recovery
2019,174016.373937,172081.373937
2020,174016.373937,172081.373937
2021,174016.373937,172081.373937
2022,174016.373937,172081.373937
2023,174016.373937,172081.373937
2024,174016.373937,172081.373937
2025,174016.373937,172081.373937
2026,174016.373937,172081.373937
2027,174016.373937,172081.373937
2028,174016.373937,172081.373937
2029,174016.373937,172081.373937
2030,174016.373937,172081.373937
2031,174016.373937,172081.373937
2032,174016.373937,172081.373937
2033,174016.373937,172081.373937
2034,174016.373937,172081.373937
2035,174016.373937,172081.373937
2036,174016.373937,172081.373937
2037,174016.373937,172081.373937
2038,174016.373937,172081.373937
