year,Base case cost,Modeled wind power
2019,651918.479133,844710.155958
2020,688607.692638,872945.997487
2021,716754.212747,893646.799837
2022,738602.95951,908876.959306
2023,756362.215495,920486.564866
2024,768972.978138,927591.689765
2025,784016.328887,936882.142408
2026,802955.991093,949819.109973
2027,817131.765,958450.856777
2028,829642.816362,965696.394673
2029,847038.320473,977569.331392
2030,858526.091734,984163.850707
2031,875824.809919,995952.233347
2032,892068.013883,1006954.49447
2033,909662.236206,1019219.54796
2034,928244.803685,1032560.35802
2035,940872.476838,1040564.84201
2036,961151.752931,1055593.35011
2037,971820.095821,1061981.00922
2038,988926.414064,1073997.46785
