year,Base case cost,Modeled transmission and interties
2021,739002.706976,
2022,761079.899466,
2023,779474.216147,
2024,792410.854808,
2025,807805.132382,
2026,827325.090678,
2027,841919.739964,
2028,854779.711754,
2029,872665.304346,
2030,884451.939957,
2031,902290.242703,
2032,919016.517579,
2033,937151.456626,
2034,956275.183341,
2035,969264.127436,
2036,990144.743544,
2037,1001113.83805,
2038,1018821.73546,
2039,1033532.45982,
2040,1053670.76867,
