year,Base case diesel consumed,Modeled diesel efficiency
2019,22489.1648368,20444.6953062
2020,22489.1648368,20444.6953062
2021,22489.1648368,20444.6953062
2022,22489.1648368,20444.6953062
2023,22489.1648368,20444.6953062
2024,22489.1648368,20444.6953062
2025,22489.1648368,20444.6953062
2026,22489.1648368,20444.6953062
2027,22489.1648368,20444.6953062
2028,22489.1648368,20444.6953062
2029,22489.1648368,20444.6953062
2030,22489.1648368,20444.6953062
2031,22489.1648368,20444.6953062
2032,22489.1648368,20444.6953062
2033,22489.1648368,20444.6953062
2034,22489.1648368,20444.6953062
2035,22489.1648368,20444.6953062
2036,22489.1648368,20444.6953062
2037,22489.1648368,20444.6953062
2038,22489.1648368,20444.6953062
