year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,22489.16,4700.78,89445.96,63387.31
2018,22489.16,4745.86,89445.96,63387.31
2019,22489.16,4791.32,89445.96,64278.16
2020,22489.16,4848.35,89445.96,65169.01
2021,22489.16,4906.43,89445.96,66059.86
2022,22489.16,4947.95,89445.96,66950.71
2023,22489.16,4986.5,89445.96,67841.56
2024,22489.16,5035.56,89445.96,68732.41
2025,22489.16,5124.09,89445.96,69623.25
2026,22489.16,5169.69,89445.96,70514.1
2027,22489.16,5213.49,89445.96,71404.95
2028,22489.16,5249.85,89445.96,72295.8
2029,22489.16,5296.6,89445.96,73186.65
2030,22489.16,5344.1,89445.96,74077.5
2031,22489.16,5391.41,89445.96,74077.5
