year,Base case cost,Modeled solar power
2020,360404.912924,364049.190772
2021,374595.662062,377989.445783
2022,385427.535324,388612.270443
2023,395223.35661,398221.638603
2024,402154.798905,404988.696194
2025,410119.207391,412783.880888
2026,419487.647594,421969.6562
2027,426856.49977,429177.35966
2028,432565.200157,434737.336759
2029,440612.924811,442622.919442
2030,446326.253874,448203.268255
2031,456439.910912,458153.739144
2032,465883.952823,467438.381537
2033,475704.460381,477103.197083
2034,485825.831878,487064.323623
2035,491898.654777,493013.057053
2036,502402.663489,503363.855839
2037,507467.206468,508318.667414
2038,517990.501331,518695.435341
2039,526500.322138,527077.847554
