year,Base case diesel consumed,Modeled solar power
2020,99285.0999789,98369.4058614
2021,99362.2445788,98453.8760141
2022,99593.6783783,98692.5767621
2023,100056.545977,99162.653174
2024,100287.979777,99401.2381159
2025,100519.413576,99639.7658487
2026,100596.558176,99723.9476303
2027,100673.702776,99808.0731145
2028,100596.558176,99737.853552
2029,100596.558176,99744.723189
2030,100750.847376,99905.8270685
2031,100982.281175,100144.02103
2032,101059.425775,100227.871711
2033,101213.714975,100388.813344
2034,101213.714975,100395.412557
2035,101213.714975,100401.958976
2036,101290.859574,100485.597624
2037,101290.859574,100492.039719
2038,101368.004174,100575.574878
2039,101445.148774,100659.058912
